Numbs,School Year,Totals Female: Asians (Tot. F),Totals Female: Black/African American (Tot. F),Totals Female: Hispanics of any race (Tot. F),Totals Female: American Indian/Alaska Native (Tot. F),Totals Female: Native Hawaiian/Other Pacific Islander (Tot. F),Totals Female: Two or more races (Tot. F),Totals Female: White (Tot. F)
788,2009-2010,,,,,,,
789,2010-2011,1,,3,,,,19
790,2011-2012,3,,2,,,1,20
791,2012-2013,3,,3,,,,29
792,2013-2014,3,1,2,,,1,28
793,2014-2015,5,2,1,,,2,24
794,2015-2016,5,3,2,,,2,25
795,2016-2017,8,1,3,,,2,23
796,2010-2011,4,2,1,,,,12
797,2011-2012,2,,1,,,,6
798,2012-2013,2,,,,1,2,3
799,2013-2014,3,,1,,,,13
800,2014-2015,3,1,2,,,,15
801,2015-2016,7,,1,,,3,23
802,2016-2017,8,1,,,,3,23
803,2004-2005,,,,,,,
804,2005-2006,,,,,,,
805,2006-2007,,,,,,,
806,2007-2008,,,,,,,
807,2008-2009,,,,,,,
808,2009-2010,,,,,,,
809,2010-2011,3,2,2,,,1,77
810,2011-2012,4,6,3,,,1,105
811,2012-2013,6,5,5,,,3,113
812,2013-2014,7,8,4,1,,3,113
813,2014-2015,3,7,8,1,,5,125
814,2015-2016,3,6,10,1,,7,144
815,2016-2017,7,8,12,1,,7,155
816,2007-2008,,,,,,,
817,2008-2009,,,,,,,
818,2009-2010,,,,,,,
819,2010-2011,1,,,,,1,4
820,2011-2012,3,1,,,,2,9
821,2012-2013,1,1,,,,2,7
822,2013-2014,2,1,,,,3,17
823,2014-2015,4,,,,,,17
824,2015-2016,6,,5,,,1,27
825,2016-2017,8,2,3,,,5,35
826,2004-2005,,,,,,,
827,2005-2006,,,,,,,
828,2006-2007,,,,,,,
829,2007-2008,,,,,,,
830,2008-2009,,,,,,,
831,2009-2010,,,,,,,
832,2010-2011,,,,,,,
833,2011-2012,,,,,,,
834,2014-2015,7,1,0,0,0,1,26
835,2004-2005,,,,,,,
836,2005-2006,,,,,,,
837,2006-2007,,,,,,,
838,2007-2008,,,,,,,
839,2008-2009,,,,,,,
840,2004-2005,4,8,,1,11,4,1
841,2009-2010,6,2,,,10,1,1
842,2012-2013,2,5,13,,,0,5
843,2013-2014,2,5,9,,,1,5
844,2014-2015,2,8,10,,,1,4
845,2015-2016,1,7,8,0,,3,8
846,2005-2006,,,,,,,
847,2006-2007,,,,,,,
848,2007-2008,,,,,,,
849,2008-2009,,,,,,,
850,2010-2011,,,,,,,
851,2011-2012,,,,,,,
852,2004-2005,,,,,,,
853,2005-2006,,,,,,,
854,2006-2007,,,,,,,
855,2007-2008,,,,,,,
856,2008-2009,,,,,,,
857,2009-2010,,,,,,,
858,2010-2011,,,,,,,
859,2011-2012,,,,,,,
860,2004-2005,,,,,,,
861,2005-2006,,,,,,,
862,2006-2007,,,,,,,
863,2007-2008,,,,,,,
864,2008-2009,,,,,,,
865,2009-2010,,,,,,,
866,2009-2010,,0,1,,,,0
867,2004-2005,0,0,0,,,,1
868,2013-2014,1,2,3,,,0,1
869,2015-2016,1,4,5,0,0,0,1
870,2012-2013,1,1,4,,,1,0
871,2014-2015,1,5,5,,,,1
872,2010-2011,,,,,,,
873,2011-2012,,,,,,,
874,2004-2005,,,,,,,
875,2005-2006,,,,,,,
876,2006-2007,,,,,,,
877,2007-2008,,,,,,,
878,2008-2009,,,,,,,
879,2009-2010,,,,,,,
880,2010-2011,,,,,,,
881,2011-2012,,,,,,,
882,2004-2005,,,,,,,
883,2005-2006,,,,,,,
884,2006-2007,,,,,,,
885,2007-2008,,,,,,,
886,2008-2009,,,,,,,
887,2009-2010,,,,,,,
888,2010-2011,,,,,,,
889,2011-2012,,,,,,,
890,2011-2012,,,,,,,
891,2008-2009,,,,,,,
892,2009-2010,,,,,,,
893,2010-2011,,,,,,,
894,2011-2012,,,,,,,
895,2004-2005,,,,,,,
896,2005-2006,,,,,,,
897,2006-2007,,,,,,,
898,2007-2008,,,,,,,
899,2008-2009,,,,,,,
900,2009-2010,,,,,,,
901,2010-2011,,,,,,,
902,2011-2012,,,,,,,
903,2014-2015,0,0,0,0,0,0,1
904,2015-2016,0,0,0,0,0,0,0
905,2014-2015,1,3,6,0,0,0,16
906,2013-2014,2,3,4,0,0,0,13
907,2012-2013,1,3,1,0,0,0,13
908,2011-2012,2,2,1,0,0,0,7
909,2010-2011,0,0,0,0,0,0,3
910,2015-2016,1,3,5,0,0,1,16
911,2004-2005,,,,,,,
912,2005-2006,,,,,,,
913,2006-2007,,,,,,,
914,2007-2008,,,,,,,
915,2008-2009,,,,,,,
916,2009-2010,,,,,,,
917,2010-2011,,,,,,,
918,2011-2012,,,,,,,
919,2015-2016,,28,,,,,
920,2004-2005,,,,,,,
921,2005-2006,,,,,,,
922,2006-2007,,,,,,,
923,2007-2008,,,,,,,
924,2008-2009,,,,,,,
925,2009-2010,,,,,,,
926,2010-2011,,,,,,,
927,2011-2012,,,,,,,
928,2006-2007,0,6,0,0,0,0,6
929,2007-2008,1,4,0,0,0,0,6
930,2008-2009,0,3,0,0,0,0,7
931,2009-2010,0,0,0,0,0,0,2
932,2010-2011,0,4,0,0,0,0,3
933,2011-2012,0,3,0,0,0,0,7
934,2012-2013,1,4,1,2,0,0,5
935,2015-2016,2,10,,2,,,23
936,2006-2007,0,5,0,0,0,0,7
937,2007-2008,0,4,1,0,0,0,4
938,2008-2009,0,3,1,0,0,0,2
939,2009-2010,0,3,0,0,0,0,5
940,2010-2011,0,2,0,0,0,0,8
941,2011-2012,0,5,0,0,0,0,7
942,2012-2013,0,2,0,0,0,0,6
943,2015-2016,1,3,,1,,,15
944,2006-2007,0,4,0,0,0,0,17
945,2007-2008,0,4,0,0,0,0,15
946,2008-2009,1,2,2,0,0,0,12
947,2009-2010,1,3,0,0,0,0,12
948,2010-2011,1,4,0,0,0,0,20
949,2011-2012,1,2,0,0,0,0,25
950,2012-2013,0,2,0,0,0,0,26
951,2015-2016,1,14,,1,,,52
952,2006-2007,,,,,,,
953,2007-2008,,,,,,,
954,2008-2009,2,0,0,0,0,0,7
955,2009-2010,,,,,,,
956,2010-2011,,,,,,,
957,2011-2012,,,,,,,
958,2005-2006,,,,,,,
959,2006-2007,,,,,,,
960,2007-2008,,,,,,,
961,2008-2009,0,1,0,0,0,0,1
962,2009-2010,,,,,,,
963,2010-2011,,,,,,,
964,2011-2012,,,,,,,
965,2004-2005,,,,,,,
966,2005-2006,,,,,,,
967,2006-2007,,,,,,,
968,2007-2008,,,,,,,
969,2008-2009,1,0,0,1,0,0,6
970,2009-2010,,,,,,,
971,2010-2011,,,,,,,
972,2011-2012,,,,,,,
973,2006-2007,,,,,,,
974,2007-2008,,,,,,,
975,2008-2009,1,0,0,0,0,0,0
976,2005-2006,,,,,,,
977,2009-2010,,,,,,,
978,2010-2011,,,,,,,
979,2011-2012,,,,,,,
980,2004-2005,,,,,,,
981,2005-2006,,,,,,,
982,2006-2007,,,,,,,
983,2007-2008,,,,,,,
984,2008-2009,0,1,0,0,0,0,1
985,2009-2010,,,,,,,
986,2010-2011,,,,,,,
987,2011-2012,,,,,,,
988,2004-2005,,,,,,,
989,2007-2008,,,,,,,
990,2008-2009,0,0,0,0,0,0,0
991,2009-2010,,,,,,,
992,2010-2011,,,,,,,
993,2011-2012,,,,,,,
994,2006-2007,,,,,,,
995,2007-2008,,,,,,,
996,2008-2009,0,0,0,0,0,0,0
997,2009-2010,,,,,,,
998,2010-2011,,,,,,,
999,2011-2012,,,,,,,
1000,2015-2016,,,,,,,
1001,2015-2016,,,,,,,
1002,2007-2008,,,,,,,
1003,2008-2009,,,,,,,
1004,2009-2010,,,,,,,
1005,2004-2005,,,,,,,
1006,2005-2006,,,,,,,
1007,2006-2007,,,,,,,
1008,2013-2014,3,11,18,0,0,,6
1009,2012-2013,1,14,18,0,0,,4
1010,2011-2012,1,17,20,0,0,,3
1011,2010-2011,0,13,10,0,0,,5
1012,2009-2010,0,9,7,0,0,,7
1013,2015-2016,4,10,19,,,,8
1014,2016-2017,3,9,17,,,,7
1015,2014-2015,1,10,15,0,0,,7
1016,2015-2016,2,0,1,0,0,2,27
1017,2008-2009,4,14,0,0,0,2,33
1018,2009-2010,4,7,0,0,0,4,29
1019,2010-2011,5,3,0,1,0,4,30
1020,2011-2012,3,3,0,1,0,4,27
1021,2008-2009,0,2,3,0,0,1,32
1022,2009-2010,2,4,2,0,0,3,37
1023,2010-2011,2,2,2,0,0,5,49
1024,2011-2012,2,2,3,0,0,3,65
1025,2008-2009,3,1,5,1,0,6,74
1026,2009-2010,5,2,4,1,0,7,63
1027,2010-2011,6,7,4,1,0,6,59
1028,2011-2012,9,7,3,1,0,13,61
1029,2012-2013,8,8,3,1,0,16,74
1030,2013-2014,3,8,5,1,0,25,99
1031,2014-2015,4,6,3,0,0,27,110
1032,2008-2009,3,6,2,0,0,4,44
1033,2009-2010,6,3,1,0,0,10,51
1034,2010-2011,6,5,0,0,0,8,52
1035,2011-2012,2,6,1,0,0,8,42
1036,2008-2009,0,7,0,0,0,5,8
1037,2009-2010,3,5,0,0,0,5,8
1038,2010-2011,1,10,1,0,1,2,8
1039,2011-2012,1,6,0,0,1,3,4
1040,2012-2013,1,6,0,0,1,7,5
1041,2013-2014,2,4,0,1,1,6,8
1042,2014-2015,5,3,0,0,0,6,14
1043,2006-2007,,,,,,,
1044,2007-2008,,,,,,,
1045,2008-2009,1,4,2,0,0,5,16
1046,2009-2010,3,4,1,0,0,3,21
1047,2010-2011,4,5,1,0,0,8,23
1048,2011-2012,5,6,1,0,0,15,26
1049,2012-2013,7,5,1,0,0,15,36
1050,2013-2014,10,6,1,0,0,17,44
1051,2014-2015,14,11,1,1,0,22,57
1052,2015-2016,22,11,4,1,0,0,80
1053,2008-2009,3,4,1,0,0,8,11
1054,2009-2010,3,3,1,0,0,7,12
1055,2010-2011,7,6,1,0,0,7,99
1056,2011-2012,7,6,3,0,0,14,14
1057,2012-2013,8,5,2,0,0,15,14
1058,2013-2014,3,4,2,0,0,18,16
1059,2014-2015,3,9,3,0,0,21,16
1060,2008-2009,2,1,0,0,0,4,14
1061,2009-2010,1,1,0,0,0,2,14
1062,2010-2011,2,0,0,0,0,1,19
1063,2011-2012,2,0,0,0,0,2,20
1064,2008-2009,8,3,1,0,0,4,66
1065,2009-2010,14,7,1,0,0,7,61
1066,2010-2011,14,7,2,0,0,8,79
1067,2011-2012,10,10,2,0,0,10,82
1068,2012-2013,11,10,4,0,0,14,88
1069,2013-2014,11,11,5,0,0,17,128
1070,2014-2015,9,11,8,1,0,23,140
1071,2014-2015,1,1,0,0,0,0,14
1072,2013-2014,0,0,0,0,0,0,17
1073,2012-2013,0,0,0,1,0,0,14
1074,2011-2012,0,0,0,1,0,0,14
1075,2010-2011,0,0,1,2,0,0,12
1076,2009-2010,0,0,0,1,0,0,9
1077,2015-2016,1,1,0,0,0,0,13
1078,2016-2017,2,0,0,0,0,0,15
1079,2014-2015,1,0,1,0,0,0,15
1080,2010-2011,1,1,0,0,0,0,19
1081,2011-2012,1,1,1,0,0,0,13
1082,2013-2014,0,0,0,0,0,0,17
1083,2012-2013,0,0,0,0,0,0,18
1084,2009-2010,0,0,0,0,0,0,19
1085,2015-2016,1,0,1,0,0,0,29
1086,2016-2017,1,0,1,0,0,3,35
1087,2004-2005,,,,,,,
1088,2005-2006,,,,,,,
1089,2006-2007,,,,,,,
1090,2007-2008,,,,,,,
1091,2008-2009,,,,,,,
1092,2014-2015,1,1,1,0,0,0,25
1093,2013-2014,1,1,0,0,0,2,25
1094,2012-2013,1,2,0,0,0,0,23
1095,2011-2012,2,3,1,1,0,0,20
1096,2010-2011,2,1,2,0,0,0,19
1097,2009-2010,1,2,1,1,0,0,21
1098,2015-2016,1,1,1,0,0,0,34
1099,2016-2017,1,1,1,0,0,0,35
1100,2014-2015,0,0,1,0,0,0,3
1101,2013-2014,0,0,1,0,0,0,1
1102,2012-2013,0,0,1,0,0,0,1
1103,2011-2012,0,0,1,0,0,0,0
1104,2010-2011,,,,,,,0
1105,2009-2010,0,1,0,0,0,0,0
1106,2015-2016,0,0,0,0,0,0,4
1107,2016-2017,0,0,0,0,0,0,8
1108,2015-2016,2,15,0,0,0,3,6
1109,2014-2015,1,7,2,0,0,2,6
1110,2013-2014,2,12,3,0,0,0,8
1111,2012-2013,2,17,1,0,0,1,6
1112,2004-2005,,,,,,,
1113,2005-2006,,,,,,,
1114,2006-2007,,,,,,,
1115,2007-2008,,,,,,,
1116,2008-2009,,,,,,,
1117,2009-2010,,,,,,,
1118,2010-2011,,,,,,,
1119,2011-2012,,,,,,,
1120,2015-2016,2,9,1,0,0,1,16
1121,2014-2015,1,4,1,0,0,0,18
1122,2013-2014,1,9,0,0,0,2,15
1123,2012-2013,0,6,0,0,0,0,13
1124,2004-2005,,,,,,,
1125,2005-2006,,,,,,,
1126,2006-2007,,,,,,,
1127,2007-2008,,,,,,,
1128,2008-2009,,,,,,,
1129,2009-2010,,,,,,,
1130,2010-2011,,,,,,,
1131,2011-2012,,,,,,,
1132,2015-2016,0,4,0,0,0,1,6
1133,2014-2015,0,2,0,0,0,1,6
1134,2013-2014,0,2,0,0,0,0,7
1135,2012-2013,0,1,1,0,0,0,7
1136,2004-2005,,,,,,,
1137,2005-2006,,,,,,,
1138,2006-2007,,,,,,,
1139,2007-2008,,,,,,,
1140,2008-2009,,,,,,,
1141,2009-2010,,,,,,,
1142,2010-2011,,,,,,,
1143,2011-2012,,,,,,,
1144,2014-2015,,,,,,,
1145,2016-2017,2,1,2,0,0,0,4
1146,2010-2011,0,0,0,0,0,0,5
1147,2011-2012,0,0,0,1,0,0,6
1148,2012-2013,0,0,0,1,0,0,4
1149,2013-2014,0,0,0,1,0,0,5
1150,2014-2015,0,0,0,1,0,0,5
1151,2015-2016,0,0,0,0,0,0,5
1152,2010-2011,0,1,0,0,0,0,19
1153,2011-2012,0,1,0,1,0,2,18
1154,2012-2013,0,1,0,1,0,3,23
1155,2013-2014,0,0,1,0,0,1,21
1156,2014-2015,0,0,1,0,0,2,34
1157,2015-2016,2,0,2,0,0,2,43
1158,2014-2015,0,0,1,0,0,1,17
1159,2013-2014,0,0,1,0,0,0,14
1160,2012-2013,1,0,0,1,0,0,14
1161,2011-2012,2,0,2,1,0,0,14
1162,2010-2011,1,0,2,0,0,0,18
1163,2015-2016,1,0,2,0,0,0,16
1164,2004-2005,,,,,,,
1165,2005-2006,,,,,,,
1166,2006-2007,,,,,,,
1167,2007-2008,,,,,,,
1168,2008-2009,,,,,,,
1169,2009-2010,,,,,,,
1170,2004-2005,,,,,,,
1171,2005-2006,,,,,,,
1172,2006-2007,,,,,,,
1173,2007-2008,,,,,,,
1174,2008-2009,,,,,,,
1175,2011-2012,,,,,,,
1176,2014-2015,13,4,3,0,0,2,7
1177,2004-2005,22,4,6,0,0,0,5
1178,2015-2016,14,3,5,0,0,1,8
1179,2010-2011,2,1,0,0,0,0,1
1180,2014-2015,9,3,2,0,0,0,2
1181,2013-2014,6,0,0,0,0,0,3
1182,2012-2013,4,1,0,0,0,0,4
1183,2011-2012,2,2,0,0,0,0,2
1184,2015-2016,11,3,1,0,0,0,0
1185,2016-2017,,,,,,,
1186,2014-2015,19,3,1,0,0,0,7
1187,2013-2014,9,1,0,0,0,0,10
1188,2012-2013,3,0,1,0,0,0,8
1189,2011-2012,7,0,0,0,0,0,4
1190,2010-2011,4,0,0,0,0,0,2
1191,2015-2016,32,5,2,0,0,0,7
1192,2016-2017,49,6,4,0,0,3,12
1193,2014-2015,2,1,2,0,1,0,1
1194,2013-2014,0,1,1,0,0,0,0
1195,2012-2013,1,1,2,0,0,0,0
1196,2011-2012,0,0,2,0,0,0,0
1197,2010-2011,0,0,1,0,0,0,1
1198,2015-2016,4,0,2,0,1,0,1
1199,2016-2017,,,,,,,
1200,2014-2015,12,1,1,0,0,0,6
1201,2013-2014,11,0,1,0,0,0,6
1202,2012-2013,9,0,0,0,0,0,7
1203,2011-2012,9,0,0,0,0,0,6
1204,2010-2011,4,0,0,0,0,0,2
1205,2015-2016,11,0,1,0,0,0,3
1206,2016-2017,,,,,,,
1207,2014-2015,1,0,1,0,0,0,4
1208,2013-2014,1,0,0,0,0,0,2
1209,2012-2013,1,0,0,0,0,0,2
1210,2011-2012,1,1,0,0,0,0,3
1211,2010-2011,3,2,0,0,0,0,3
1212,2015-2016,9,1,1,0,0,0,5
1213,2016-2017,22,5,4,0,0,2,7
1214,2014-2015,17,3,6,0,0,0,16
1215,2013-2014,6,2,5,0,0,0,13
1216,2012-2013,7,2,3,0,0,0,14
1217,2011-2012,9,2,3,0,0,0,13
1218,2010-2011,6,0,2,0,0,0,9
1219,2015-2016,19,2,5,0,0,0,18
1220,2016-2017,24,5,14,0,0,11,24
1221,2004-2005,0,82,0,0,0,5,1
1222,2005-2006,0,65,0,0,0,1,0
1223,2006-2007,,,,,,,
1224,2007-2008,,,,,,,
1225,2008-2009,,,,,,,
1226,2009-2010,,,,,,,
1227,2010-2011,,,,,,,
1228,2011-2012,,,,,,,
1229,2013-2014,2,4,5,0,0,4,13
1230,2014-2015,,,,,,,
1231,2013-2014,14,12,2,0,0,12,46
1232,2013-2014,4,1,4,0,0,8,33
1233,2013-2014,1,5,1,1,0,4,59
1234,2014-2015,0,0,0,0,0,0,10
1235,2007-2008,,,,,,,
1236,2008-2009,,,,,,,
1237,2009-2010,,,,,,,
1238,2010-2011,,,,,,,
1239,2011-2012,,,,,,,
1240,2006-2007,,,,,,,
1241,2007-2008,,,,,,,
1242,2008-2009,,,,,,,
1243,2014-2015,0,0,0,0,0,0,21
1244,2004-2005,,,,,,,
1245,2005-2006,,,,,,,
1246,2006-2007,,,,,,,
1247,2007-2008,,,,,,,
1248,2008-2009,,,,,,,
1249,2009-2010,,,,,,,
1250,2010-2011,,,,,,,
1251,2011-2012,,,,,,,
1252,2014-2015,1,0,1,0,0,0,22
1253,2004-2005,,,,,,,
1254,2005-2006,,,,,,,
1255,2006-2007,,,,,,,
1256,2007-2008,,,,,,,
1257,2008-2009,,,,,,,
1258,2009-2010,,,,,,,
1259,2010-2011,,,,,,,
1260,2011-2012,,,,,,,
1261,2014-2015,1,1,2,1,0,1,22
1262,2007-2008,,,,,,,
1263,2008-2009,,,,,,,
1264,2009-2010,,,,,,,
1265,2010-2011,,,,,,,
1266,2011-2012,,,,,,,
1267,2004-2005,,,,,,,
1268,2005-2006,,,,,,,
1269,2006-2007,,,,,,,
1270,2007-2008,,,,,,,
1271,2008-2009,,,,,,,
1272,2009-2010,,,,,,,
1273,2010-2011,,,,,,,
1274,2011-2012,,,,,,,
1275,2004-2005,,,,,,,
1276,2005-2006,,,,,,,
1277,2006-2007,,,,,,,
1278,2007-2008,,,,,,,
1279,2008-2009,,,,,,,
1280,2009-2010,,,,,,,
1281,2010-2011,,,,,,,
1282,2011-2012,,,,,,,
1283,2004-2005,,,,,,,
1284,2005-2006,,,,,,,
1285,2006-2007,,,,,,,
1286,2007-2008,,,,,,,
1287,2008-2009,,,,,,,
1288,2009-2010,,,,,,,
1289,2010-2011,,,,,,,
1290,2011-2012,,,,,,,
1291,2004-2005,,,,,,,
1292,2005-2006,,,,,,,
1293,2006-2007,,,,,,,
1294,2007-2008,,,,,,,
1295,2008-2009,,,,,,,
1296,2009-2010,,,,,,,
1297,2010-2011,,,,,,,
1298,2011-2012,,,,,,,
1299,2010-2011,3,1,0,0,0,0,8
1300,2011-2012,1,2,0,0,0,1,7
1301,2012-2013,2,3,0,0,0,1,12
1302,2013-2014,2,2,0,0,0,0,19
1303,2014-2015,4,4,2,0,0,2,15
1304,2015-2016,8,2,2,0,0,2,13
1305,2010-2011,3,2,1,0,0,0,4
1306,2011-2012,0,5,1,0,0,0,9
1307,2012-2013,2,1,0,0,0,0,6
1308,2013-2014,1,3,0,0,0,0,5
1309,2014-2015,1,4,0,0,0,1,6
1310,2015-2016,1,5,0,0,0,2,11
1311,2013-2014,1,3,1,0,0,0,26
1312,2010-2011,0,1,1,0,0,0,10
1313,2011-2012,1,0,0,0,0,0,16
1314,2012-2013,0,2,0,0,0,1,16
1315,2014-2015,1,0,1,0,0,0,40
1316,2015-2016,1,2,0,0,0,1,43
1317,2004-2005,,,,,,,
1318,2005-2006,,,,,,,
1319,2006-2007,,,,,,,
1320,2007-2008,,,,,,,
1321,2008-2009,,,,,,,
1322,2009-2010,,,,,,,
1323,2004-2005,,,,,,,
1324,2005-2006,,,,,,,
1325,2006-2007,,,,,,,
1326,2007-2008,,,,,,,
1327,2008-2009,,,,,,,
1328,2009-2010,,,,,,,
1329,2015-2016,23,14,5,1,1,0,103
1330,2014-2015,5,20,5,0,,2,21
1331,2015-2016,4,18,3,0,0,7,33
1332,2008-2009,7,0,0,0,2,5,16
1333,2009-2010,8,0,0,0,0,7,17
1334,2010-2011,12,0,1,0,0,9,21
1335,2011-2012,12,1,2,0,0,6,33
1336,2012-2013,9,1,3,0,1,11,35
1337,2013-2014,9,0,6,0,0,4,41
1338,2014-2015,12,,9,,,,40
1339,2004-2005,,,,,,,
1340,2005-2006,,,,,,,
1341,2006-2007,,,,,,,
1342,2007-2008,,,,,,,
1343,2008-2009,10,0,0,0,2,7,22
1344,2009-2010,7,0,0,1,2,8,23
1345,2010-2011,5,0,1,1,1,9,27
1346,2011-2012,4,0,0,0,1,10,31
1347,2012-2013,7,0,1,0,1,15,32
1348,2013-2014,13,1,7,0,1,7,62
1349,2014-2015,,,,,,,
1350,2006-2007,,,,,,,
1351,2007-2008,,,,,,,
1352,2008-2009,,,,,,,
1353,2009-2010,,,,,,,
1354,2010-2011,,,,,,,
1355,2011-2012,,,,,,,
1356,2008-2009,,,,,,,
1357,2009-2010,,,,,,,
1358,2010-2011,,,,,,,
1359,2011-2012,,,,,,,
1360,2010-2011,,,,,,,
1361,2011-2012,,,,,,,
1362,2008-2009,,,,,,,
1363,2009-2010,,,,,,,
1364,2010-2011,,,,,,,
1365,2011-2012,,,,,,,
1366,2008-2009,,,,,,,
1367,2009-2010,,,,,,,
1368,2010-2011,,,,,,,
1369,2011-2012,,,,,,,
1370,2008-2009,,,,,,,
1371,2009-2010,,,,,,,
1372,2010-2011,,,,,,,
1373,2011-2012,,,,,,,
1374,2008-2009,,,,,,,
1375,2009-2010,,,,,,,
1376,2010-2011,,,,,,,
1377,2011-2012,,,,,,,
1378,2008-2009,,,,,,,
1379,2009-2010,,,,,,,
1380,2010-2011,,,,,,,
1381,2011-2012,,,,,,,
1382,2008-2009,,,,,,,
1383,2009-2010,,,,,,,
1384,2010-2011,,,,,,,
1385,2011-2012,,,,,,,
1386,2004-2005,,,,,,,
1387,2005-2006,,,,,,,
1388,2006-2007,,,,,,,
1389,2004-2005,,,,,,,
1390,2005-2006,,,,,,,
1391,2006-2007,,,,,,,
1392,2004-2005,,,,,,,
1393,2005-2006,,,,,,,
1394,2006-2007,,,,,,,
1395,2007-2008,,,,,,,
1396,2008-2009,,,,,,,
1397,2009-2010,,,,,,,
1398,2010-2011,,,,,,,
1399,2011-2012,,,,,,,
1400,2013-2014,12,3,4,3,1,,40
1401,2012-2013,15,3,5,2,,,38
1402,2011-2012,15,2,1,1,1,,28
1403,2010-2011,7,1,2,,1,,17
1404,2015-2016,15,2,5,0,0,,52
1405,2014-2015,14,5,6,3,1,,33
1406,2014-2015,10,2,1,2,1,,23
1407,2013-2014,5,2,1,1,2,,23
1408,2012-2013,1,1,2,,2,,20
1409,2011-2012,3,1,1,1,2,,21
1410,2010-2011,6,1,,1,3,,15
1411,2015-2016,9,2,5,0,0,,31
1412,2004-2005,,,,,,,
1413,2005-2006,,,,,,,
1414,2006-2007,,,,,,,
1415,2007-2008,,,,,,,
1416,2008-2009,,,,,,,
1417,2009-2010,,,,,,,
1418,2016-2017,17,4,7,0,1,6,74
1419,2015-2016,16,2,5,0,0,4,66
1420,2014-2015,16,1,5,0,0,5,66
1421,2013-2014,9,0,4,0,0,5,67
1422,2012-2013,7,3,1,0,0,4,58
1423,2011-2012,7,3,1,0,0,5,68
1424,2010-2011,7,3,2,0,0,4,75
1425,2009-2010,8,3,0,0,0,3,72
1426,2008-2009,7,4,1,0,0,2,70
1427,2007-2008,,,,,,,
1428,2016-2017,20,8,7,0,0,4,44
1429,2015-2016,17,5,3,0,1,5,40
1430,2014-2015,8,6,1,0,0,5,34
1431,2013-2014,4,4,1,0,0,5,28
1432,2012-2013,3,4,3,0,0,3,22
1433,2011-2012,2,4,2,0,0,2,18
1434,2010-2011,1,2,2,0,0,1,21
1435,2009-2010,1,2,1,0,0,1,27
1436,2008-2009,2,2,0,1,0,0,21
1437,2007-2008,,,,,,,
1438,2015-2016,28,3,1,0,0,,37
1439,2011-2012,6,0,2,0,0,2,26
1440,2012-2013,8,0,5,0,0,5,24
1441,2013-2014,8,2,5,1,0,2,23
1442,2014-2015,15,2,3,0,0,6,29
1443,2004-2005,,,,,,,
1444,2005-2006,,,,,,,
1445,2006-2007,,,,,,,
1446,2007-2008,,,,,,,
1447,2008-2009,,,,,,,
1448,2009-2010,,,,,,,
1449,2014-2015,3,0,1,0,1,0,14
1450,2004-2005,,,,,,,
1451,2005-2006,,,,,,,
1452,2006-2007,,,,,,,
1453,2007-2008,,,,,,,
1454,2008-2009,,,,,,,
1455,2009-2010,,,,,,,
1456,2010-2011,,,,,,,
1457,2011-2012,,,,,,,
1458,2004-2005,,,,,,,
1459,2005-2006,,,,,,,
1460,2006-2007,,,,,,,
1461,2007-2008,,,,,,,
1462,2008-2009,,,,,,,
1463,2009-2010,,,,,,,
1464,2004-2005,,,,,,,
1465,2005-2006,,,,,,,
1466,2006-2007,,,,,,,
1467,2007-2008,,,,,,,
1468,2008-2009,,,,,,,
1469,2009-2010,,,,,,,
1470,2014-2015,0,1,0,0,0,0,6
1471,2015-2016,1,1,0,0,0,0,15
1472,2014-2015,0,5,0,0,0,0,22
1473,2015-2016,0,5,0,0,1,0,33
1474,2014-2015,0,1,0,0,0,1,4
1475,2015-2016,0,0,0,0,0,1,6
1476,2014-2015,0,0,0,0,0,0,4
1477,2015-2016,0,0,0,0,0,0,1
1478,2004-2005,13,3,3,0,,6,27
1479,2005-2006,6,1,3,0,,4,26
1480,2006-2007,4,2,2,0,,2,24
1481,2007-2008,6,3,2,0,,2,28
1482,2008-2009,,,,,,,
1483,2009-2010,,,,,,,
1484,2004-2005,,,,,,,
1485,2005-2006,,,,,,,
1486,2006-2007,,,,,,,
1487,2007-2008,,,,,,,
1488,2008-2009,,,,,,,
1489,2009-2010,,,,,,,
1490,2004-2005,25,11,0,0,,10,54
1491,2005-2006,12,13,3,1,,8,44
1492,2006-2007,10,10,7,1,,2,47
1493,2007-2008,10,10,9,1,,4,51
1494,2009-2010,,,,,,,
1495,2004-2005,1,2,0,0,,0,8
1496,2005-2006,2,2,0,0,,0,12
1497,2006-2007,2,2,0,0,,0,10
1498,2007-2008,1,1,0,0,,0,16
1499,2007-2008,,,,,,,
1500,2008-2009,,,,,,,
1501,2009-2010,,,,,,,
1502,2004-2005,1,1,0,0,,0,16
1503,2005-2006,1,2,0,0,,2,15
1504,2006-2007,1,1,1,0,,1,17
1505,2007-2008,0,1,1,0,,2,18
1506,2008-2009,,,,,,,
1507,2009-2010,,,,,,,
1508,2010-2011,,,,,,,
1509,2011-2012,,,,,,,
1510,2010-2011,,,,,,,
1511,2011-2012,,,,,,,
1512,2006-2007,,,,,,,
1513,2007-2008,,,,,,,
1514,2008-2009,,,,,,,
1515,2009-2010,,,,,,,
1516,2010-2011,,,,,,,
1517,2011-2012,,,,,,,
1518,2015-2016,76,19,14,0,2,6,43
1519,2004-2005,,,,,,,
1520,2005-2006,,,,,,,
1521,2006-2007,,,,,,,
1522,2007-2008,,,,,,,
